# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	308026
#@/user_id	81bf718c-31d1-4575-8c56-55f3655d21e4
ai yo 	哎唷	c=1 d=1 t=36345
ai yong 	愛用	c=2 d=1 t=253215
ai za di za di 	愛匝地匝地	c=2 d=1 t=235323
ai za za di 	愛咋咂低	c=2 d=1 t=263228
ai ze la si 	艾澤拉斯	c=1 d=1 t=270220
ai zen me da 	愛怎麼打	c=1 d=1 t=227999
ai zheng 	癌症	c=1 d=1 t=11074
ai zou 	愛走	c=1 d=1 t=274340
an 	俺	c=1 d=1 t=249719
an 	安	c=5 d=1 t=305597
an 	按	c=23 d=0.130029 t=308026
an 	暗	c=1 d=0.0488012 t=308026
an an 	安安	c=1 d=1 t=19702
an bing 	暗病	c=1 d=1 t=206265
an cheng 	案秤	c=0 d=0.1 t=264928
an cuo 	按錯	c=0 d=0.1 t=58964
an cuo jian 	按錯鍵	c=1 d=1 t=58965
an du yin 	安度因	c=1 d=1 t=281079
an du yin 	安讀音	c=1 d=1 t=120019
an fu 	安撫	c=2 d=1 t=286319
an ge 	安格	c=2 d=1 t=187611
an he 	安和	c=0 d=0.1 t=254607
an he qiao 	安和橋	c=2 d=1.99005 t=254610
an hei 	暗黑	c=21 d=2.53983 t=283391
an hei ha ha ha ha ha 	暗黑哈哈哈哈哈	c=1 d=1 t=191887
an hei po huai shen 	暗黑破壞神	c=1 d=1 t=79057
an hei san 	暗黑三	c=1 d=1 t=107989
an hou 	安候	c=1 d=1 t=203417
an hui 	安徽	c=2 d=1.99501 t=47228
an ji la 	安吉拉	c=1 d=1 t=81257
an jian 	安檢	c=2 d=1 t=301272
an jian 	按鍵	c=8 d=1 t=301271
an jian 	案件	c=1 d=1 t=11920
an jie 	按揭	c=1 d=0.031273 t=308026
an jin 	按金	c=0 d=0.1 t=275897
an jing 	安靜	c=6 d=1 t=287771
an li 	安利	c=3 d=1 t=121706
an li 	案例	c=1 d=1 t=121707
an li guo 	安利過	c=1 d=1 t=61763
an li shuo 	按理說	c=1 d=1 t=115376
an liang 	按量	c=1 d=1 t=47993
an me duo 	按麼多	c=1 d=1 t=6379
an mo 	按摩	c=5 d=2.69058 t=298918
an mo chuang 	按摩牀	c=1 d=1 t=66805
an mu 	暗牧	c=1 d=1 t=241996
an nai shai 	安耐曬	c=2 d=1.19691 t=305268
an ni 	安妮	c=1 d=1 t=92891
an niu 	按鈕	c=104 d=1 t=287043
an pai 	安排	c=62 d=1.81465 t=307724
an pai ge 	安排個	c=1 d=1 t=265707
an pai hao 	安排好	c=1 d=1 t=104711
an pan 	暗盤	c=1 d=1 t=162887
an quan 	安全	c=37 d=1 t=287888
an quan gan 	安全感	c=1 d=0.1 t=235418
an quan ku 	安全庫	c=1 d=1 t=140574
an qun 	按羣	c=1 d=1 t=60539
an ruo xi 	安若夕	c=2 d=0.000432902 t=308026
an shi 	暗示	c=1 d=1 t=187407
an wei 	安慰	c=3 d=1 t=206974
an wei an wei 	安慰安慰	c=1 d=1 t=43826
an wei ni 	安慰你	c=1 d=1 t=107730
an xia qu 	按下去	c=1 d=1 t=94967
an xin 	安心	c=1 d=1 t=122713
an ye 	暗夜	c=54 d=0.0492917 t=308026
an ye ba 	暗夜吧	c=1 d=1 t=24151
an ye zhi guang 	暗夜之光	c=2 d=1 t=32397
an yi xia 	按一下	c=2 d=1.91393 t=94954
an yuan 	按原	c=0 d=0.1 t=282199
an yue 	按月	c=2 d=1 t=158932
an zhao 	按照	c=64 d=0.0833256 t=308026
an zhe 	按着	c=1 d=1 t=158476
an zhen 	安貞	c=8 d=2.90752 t=68736
an zhen qiao 	安貞橋	c=2 d=1.98511 t=189637
an zhi 	安置	c=1 d=1 t=88377
an zhou 	按周	c=2 d=1 t=27293
an zhu 	按住	c=22 d=3.49415 t=292534
an zhuang 	安裝	c=37 d=1 t=296999
an zhuang bao 	安裝包	c=2 d=1 t=297002
an zhuang pan 	安裝盤	c=1 d=1 t=19252
an zhuang zhong 	安裝中	c=1 d=1 t=185550
an zhuo 	安卓	c=427 d=0.579848 t=308026
an zhuo ban 	安卓版	c=2 d=1 t=37284
an zhuo duan 	安卓端	c=1 d=1 t=14438
an zhuo ji 	安卓機	c=2 d=1 t=45465
an zhuo li 	安卓裏	c=1 d=1 t=55011
an zhuo na 	安卓吶	c=1 d=1 t=251643
an zhuo nong si 	安卓弄死	c=1 d=1 t=87956
an zhuo shang 	安卓上	c=1 d=1 t=80601
an zi 	案子	c=10 d=1.6942 t=249668
an zi li 	案子裏	c=1 d=1 t=57442
ang 	昂	c=0 d=0.1 t=79174
ao 	傲	c=5 d=0.1 t=291387
ao 	奧	c=1 d=1 t=285229
ao 	熬	c=1 d=1 t=291631
ao ao 	嗷嗷	c=1 d=1 t=41195
ao ba ma 	奧巴馬	c=2 d=1 t=259523
ao da 	澳大	c=1 d=1 t=128206
ao da li ya 	澳大利亞	c=2 d=1 t=195120
ao ding 	奧丁	c=2 d=1 t=266573
ao er 	奧爾	c=0 d=0.1 t=303585
ao er bin 	奧爾濱	c=2 d=1.89583 t=303608
ao ka mu 	奧卡姆	c=1 d=1 t=201415
ao men 	澳門	c=6 d=4.81648 t=274010
